Genotype,cv_1,cv_2,cv_3,cv_4,cv_5,cv_6,cv_7,cv_8,cv_9,cv_10,cv_11,cv_12,cv_13,cv_14,cv_15,cv_16,cv_17,cv_18,cv_19,cv_20,cv_21,cv_22,cv_23,cv_24,cv_25,cv_26,cv_27,cv_28,cv_29,cv_30,cv_31,cv_32,cv_33,cv_34,cv_35,cv_36,cv_37,cv_38,cv_39,cv_40,cv_41,cv_42,cv_43,cv_44,cv_45,cv_46,cv_47,cv_48,cv_49,cv_50,cv_51,cv_52,cv_53,cv_54,cv_55,cv_56,cv_57,cv_58,cv_59,cv_60,cv_61,cv_62,cv_63,cv_64,cv_65,cv_66,cv_67,cv_68,cv_69,cv_70,cv_71,cv_72,cv_73,cv_74,cv_75,cv_76,cv_77,cv_78,cv_79,cv_80,cv_81,cv_82,cv_83,cv_84,cv_85,cv_86,cv_87,cv_88,cv_89,cv_90,cv_91,cv_92,cv_93,cv_94,cv_95,cv_96,cv_97,cv_98,cv_99,cv_100
DS11-05028,3,4,1,5,2,2,1,2,1,4,4,4,3,3,2,5,2,5,2,4,5,1,2,3,4,2,2,4,2,4,4,4,5,3,3,3,3,2,1,5,2,2,3,3,4,5,4,3,5,3,1,3,5,1,5,1,2,5,3,2,3,1,3,3,2,3,5,1,2,3,1,5,1,2,4,3,4,3,2,2,5,4,5,1,5,3,3,2,1,5,2,4,2,3,2,1,1,4,3,5
DS11-05029,2,5,1,2,3,5,5,2,3,2,1,3,3,3,4,1,4,5,1,4,4,1,5,1,2,1,4,3,5,2,1,4,1,1,4,5,5,3,1,3,4,5,4,4,2,5,5,5,3,5,2,5,3,4,4,1,1,4,5,2,2,4,5,3,3,1,1,3,1,5,5,1,1,5,5,5,1,1,5,1,3,4,3,4,1,4,5,5,2,2,2,4,4,2,3,3,5,1,5,3
DS11-05030,1,3,5,4,2,5,1,1,5,1,5,2,4,3,5,2,3,1,4,3,4,3,4,2,2,1,3,5,1,5,4,5,5,1,5,4,5,5,5,3,5,2,2,3,2,1,5,1,2,2,4,3,2,1,2,4,3,5,4,5,2,4,4,5,3,5,5,5,1,5,5,5,1,2,5,5,3,5,3,5,2,2,1,5,4,4,2,1,3,3,3,5,4,4,1,5,5,2,1,5
DS11-05035,2,5,5,3,1,4,3,1,1,1,2,2,4,2,1,5,2,2,5,3,1,4,5,2,3,4,3,4,4,5,4,2,1,5,1,2,3,4,2,1,3,5,3,2,5,5,3,3,3,4,4,4,2,5,1,3,3,2,1,2,3,1,5,5,2,2,5,2,3,5,1,2,5,5,5,1,1,2,1,3,4,2,2,5,5,2,3,2,5,5,4,5,1,2,2,1,3,4,3,5
DS11-05036,3,5,3,1,1,2,5,5,4,3,2,1,3,3,4,1,5,1,5,4,5,4,1,2,3,1,5,3,3,1,3,5,2,1,4,4,2,2,5,1,4,3,5,4,3,4,3,1,5,4,2,1,4,3,5,1,3,5,1,1,4,5,2,2,2,1,1,3,4,5,3,3,1,5,5,4,3,4,5,1,4,5,1,3,5,2,2,1,2,2,2,5,1,4,2,1,5,4,4,1
DS11-05037,2,1,3,1,2,4,4,2,2,5,3,2,1,2,3,2,3,3,5,4,4,2,1,1,1,4,5,3,4,5,5,5,2,5,5,2,1,4,1,3,2,5,1,4,1,3,3,4,3,2,5,4,2,3,3,1,3,1,1,5,1,5,3,3,5,3,4,3,2,4,3,5,5,2,4,3,4,3,5,1,1,1,5,2,2,2,2,5,4,3,1,4,1,5,2,4,2,5,1,3
DS11-05039,1,2,5,3,1,2,2,2,3,5,5,4,3,1,2,4,3,5,2,5,3,4,1,2,2,2,4,2,4,2,3,1,4,3,5,3,3,1,2,1,4,2,1,3,5,2,3,3,1,3,2,2,1,2,3,2,1,2,2,4,4,4,2,5,5,5,3,1,5,2,3,5,1,2,5,2,1,1,4,5,5,3,5,4,4,4,1,3,2,4,2,2,1,2,3,1,1,4,2,3
DS11-05040,5,1,5,1,3,3,1,5,1,1,5,1,5,3,3,2,4,4,4,5,4,4,1,3,4,3,3,2,1,1,3,3,2,2,5,4,2,1,1,1,4,2,3,1,4,3,4,4,1,1,3,4,1,5,2,4,1,5,4,5,5,2,2,1,3,1,4,5,2,3,2,2,4,4,3,5,5,5,2,5,4,5,3,1,4,3,5,5,4,5,5,4,3,4,1,2,3,5,1,5
DS11-05041,2,4,2,2,2,3,4,3,5,1,5,5,2,4,2,1,4,3,1,4,5,5,2,1,3,2,2,3,5,1,4,5,5,3,2,1,5,5,4,5,3,2,4,1,4,2,1,5,5,5,5,2,3,5,2,2,2,2,3,1,4,4,1,5,4,1,1,3,4,1,3,3,4,2,3,4,1,5,3,2,5,1,3,2,2,3,1,4,5,4,5,5,4,2,1,4,5,1,2,4
DS11-05042,2,2,5,2,2,2,3,2,4,2,3,3,3,1,3,5,1,5,2,5,2,5,2,1,5,4,1,3,2,1,1,5,1,3,4,2,3,4,1,5,4,2,4,4,2,3,2,4,2,1,1,3,4,5,5,4,2,1,1,5,1,2,4,2,3,3,1,3,4,3,1,2,3,1,5,2,2,4,1,3,4,3,1,2,4,1,4,4,1,2,4,5,3,5,5,4,2,1,5,5
DS11-05043,5,1,4,2,4,2,3,2,3,4,5,3,5,5,1,3,3,5,3,1,4,3,2,2,2,4,1,1,4,1,1,5,2,4,1,2,2,5,1,3,2,5,4,2,1,3,2,2,1,3,3,5,1,5,4,5,2,2,5,4,4,2,1,5,4,2,3,5,3,5,4,3,2,3,5,1,4,3,2,2,3,4,2,5,1,4,3,1,2,5,5,4,3,2,4,3,4,2,4,2
DS11-05044,4,4,4,3,3,4,1,4,4,3,3,2,1,2,1,5,2,5,5,2,3,3,2,1,4,3,3,1,5,2,3,1,4,1,1,5,3,5,2,5,1,5,1,4,2,5,2,3,2,4,2,4,2,2,5,1,4,1,2,4,1,4,1,3,1,2,3,2,1,5,5,1,3,4,2,3,3,2,4,1,5,3,1,1,2,4,1,5,4,1,1,2,3,2,4,2,3,5,5,3
DS11-05046,4,3,3,3,4,5,2,1,4,4,4,2,1,2,1,2,5,2,3,4,4,2,2,4,5,2,5,2,4,2,5,5,5,3,1,2,4,5,2,5,4,2,1,4,1,4,5,5,4,1,1,4,3,2,1,3,4,3,1,1,3,2,4,4,2,3,4,2,5,2,2,3,5,1,4,5,3,5,1,1,3,1,2,3,3,2,2,1,4,1,5,3,5,2,4,1,3,3,2,4
DS11-05047,5,1,4,1,1,1,3,3,2,4,2,2,4,5,1,4,1,1,1,2,4,4,4,5,1,3,4,3,4,2,3,2,2,5,5,1,1,4,5,2,5,1,1,3,3,1,4,5,5,5,3,1,2,3,4,1,5,1,5,3,4,2,1,3,3,2,3,5,5,3,5,1,5,5,2,5,2,3,2,3,1,3,5,5,5,2,2,4,4,1,3,3,2,3,4,4,1,2,2,4
DS11-05048,3,2,3,4,5,2,1,5,2,5,2,4,5,4,1,5,5,5,4,4,2,1,2,4,1,1,1,3,3,3,2,1,4,2,5,2,5,1,2,5,4,5,5,2,2,2,1,5,2,4,1,5,5,5,1,4,5,2,5,1,1,4,2,5,3,1,4,2,2,2,3,3,5,3,1,5,3,2,4,4,5,2,5,5,4,5,5,4,2,1,5,2,5,1,1,1,3,1,4,4
DS11-05049,1,1,2,4,5,4,5,2,4,3,5,3,3,5,2,4,4,2,3,1,1,4,4,5,4,5,3,1,2,5,1,3,4,2,1,2,1,1,4,1,4,1,3,2,3,4,3,1,3,2,3,5,3,1,5,5,1,5,3,1,4,2,4,1,2,2,4,5,3,3,2,4,2,5,5,4,1,5,1,5,4,5,5,3,3,5,2,5,3,1,5,5,4,5,5,5,4,1,2,4
DS11-05052,1,3,1,2,3,1,5,4,2,3,1,2,1,5,4,1,2,1,3,3,1,5,5,4,5,1,2,1,4,3,4,2,5,3,1,5,2,3,1,3,5,5,5,1,4,5,4,1,3,1,2,4,2,3,1,3,4,3,5,5,2,2,1,1,4,5,1,4,5,2,3,4,1,2,5,3,1,5,4,3,5,3,5,3,3,5,2,1,1,1,1,1,4,4,3,2,4,4,3,4
DS11-05053,5,4,4,2,5,4,2,3,1,5,5,5,1,1,5,1,3,4,5,2,4,3,1,3,3,5,4,4,2,4,4,2,3,5,3,1,1,5,3,4,2,5,3,1,3,5,1,3,2,5,5,5,3,5,5,4,1,1,4,2,5,1,1,1,1,4,4,2,4,3,1,3,1,1,5,5,5,4,5,1,2,5,4,2,2,2,2,5,3,5,5,2,5,2,3,3,5,4,5,2
DS11-05055,1,2,3,2,3,5,5,1,1,3,5,1,3,3,4,3,4,2,5,1,3,3,4,5,3,5,1,1,1,1,3,4,2,4,2,1,3,4,1,4,3,2,4,4,1,1,2,1,3,1,2,1,1,5,2,4,4,2,1,4,5,1,3,1,4,1,1,1,2,1,2,2,2,2,4,2,1,4,3,3,1,3,2,4,1,3,3,4,1,5,1,1,2,2,2,2,5,4,1,4
DS11-05056,3,5,3,1,3,4,4,5,4,4,2,4,4,1,2,1,5,2,5,3,4,3,3,1,1,5,1,3,4,4,4,2,1,5,3,3,1,4,5,3,2,5,5,2,1,5,3,5,5,2,5,2,3,3,3,5,5,4,4,1,2,5,2,3,5,3,3,2,2,4,2,3,4,1,4,1,1,5,3,2,1,3,1,1,5,5,3,4,1,2,5,4,4,4,4,5,1,2,2,4
DS11-05058,2,1,5,4,5,2,3,2,5,4,4,5,5,1,5,3,4,5,3,3,3,1,4,2,5,1,4,2,3,3,3,4,3,3,1,2,5,2,2,1,2,4,2,4,2,4,4,1,2,1,1,4,1,4,1,2,2,1,3,3,3,1,3,1,2,4,3,4,2,5,5,1,4,2,2,5,4,2,2,2,3,5,1,4,3,4,4,3,5,2,2,5,4,3,1,1,1,2,2,5
DS11-05059,4,1,3,1,3,1,2,3,4,4,2,1,3,1,5,4,2,1,4,3,4,1,2,1,1,3,2,5,1,3,4,5,2,1,5,2,3,3,5,3,2,4,5,1,2,4,5,5,5,5,3,5,4,1,5,3,4,4,5,3,4,5,2,1,2,2,4,5,5,2,5,2,2,5,5,3,1,1,5,2,4,2,1,4,4,5,5,1,4,4,4,2,2,2,2,5,5,1,4,4
DS11-05061,4,3,5,5,4,1,2,1,5,2,5,4,4,2,1,4,3,5,5,2,5,1,5,4,4,2,4,2,5,2,4,2,1,5,4,2,1,5,5,2,1,4,1,2,5,3,2,5,3,2,2,2,3,3,1,1,3,5,2,4,3,3,2,2,5,1,1,2,5,3,5,5,2,4,5,5,3,3,4,3,5,3,3,1,5,5,3,2,1,5,2,1,2,4,5,3,3,4,2,3
DS11-05063,2,1,5,2,5,5,5,5,1,1,2,5,5,1,3,5,1,5,5,4,1,4,4,5,3,5,2,2,2,4,3,2,2,3,5,4,2,1,5,3,4,5,3,2,5,1,5,5,1,1,2,5,2,4,5,4,4,2,2,4,1,5,5,4,2,1,1,1,5,1,1,5,3,1,2,1,4,2,5,5,4,1,2,2,3,5,3,2,3,1,3,5,1,3,4,5,3,4,5,4
DS11-05064,5,3,3,1,4,5,4,5,5,1,4,3,4,2,4,5,2,4,2,2,3,1,4,3,3,2,3,5,5,3,2,4,1,5,1,2,2,1,5,2,4,2,5,3,2,3,3,3,2,2,4,4,1,4,3,1,2,5,1,1,3,3,3,5,3,3,4,5,5,1,4,2,1,1,3,2,4,5,1,1,4,1,4,5,2,2,3,3,3,4,5,3,4,3,1,5,4,1,3,3
DS11-05066,3,2,2,1,1,4,3,1,5,4,1,5,3,1,3,5,2,1,1,1,5,5,5,4,2,5,1,5,3,4,2,3,1,1,1,3,5,2,1,4,3,3,2,2,2,1,1,5,2,5,1,3,5,5,2,1,3,5,1,2,2,1,3,1,3,1,1,2,3,4,3,4,4,2,2,2,5,1,5,1,3,3,5,4,3,1,1,1,5,4,5,4,4,1,5,3,4,3,1,2
DS11-05067,2,4,3,1,4,4,4,5,2,2,4,5,1,1,4,4,3,1,3,3,4,5,5,1,1,1,1,4,3,1,4,3,2,2,3,2,4,4,1,3,2,2,5,2,1,5,2,3,4,1,3,5,1,2,3,3,1,3,1,3,2,4,1,2,1,2,5,5,3,1,4,1,4,1,1,2,4,5,3,3,4,1,5,5,1,3,1,4,4,3,3,3,2,2,2,5,4,2,1,5
DS11-05068,3,5,2,3,3,3,3,5,4,5,3,4,2,2,2,2,2,3,5,5,4,1,3,3,2,3,3,1,4,2,5,4,5,5,3,1,4,3,2,1,1,3,2,1,4,2,4,4,5,2,1,2,5,1,4,1,2,4,1,4,5,1,3,5,3,1,2,4,4,4,3,4,5,2,1,1,1,3,5,4,1,3,3,4,4,5,3,3,1,2,1,4,1,2,1,5,1,1,5,4
DS11-05069,1,1,1,4,5,1,3,1,1,4,2,2,1,2,1,1,3,4,5,3,1,3,1,4,4,1,4,2,1,4,2,3,4,3,1,5,1,2,4,5,3,2,3,5,4,4,2,4,4,1,2,2,2,2,4,2,2,1,2,3,3,4,5,4,3,2,5,3,3,5,3,3,3,2,1,1,1,4,4,1,4,4,4,4,3,1,5,3,4,2,2,3,3,5,1,5,1,5,4,5
DS11-05071,1,1,5,3,4,2,3,2,2,1,4,3,1,3,1,4,3,5,3,5,1,4,5,2,3,2,1,3,5,5,1,2,3,1,5,2,5,2,1,5,3,5,5,4,2,1,1,3,4,2,5,5,2,3,5,3,1,3,5,5,1,2,1,1,3,1,1,5,3,2,2,4,3,4,1,1,5,1,4,5,4,5,3,5,3,1,1,1,4,4,3,5,4,2,2,5,2,5,4,1
DS11-05072,1,5,4,5,1,4,5,2,3,2,3,4,5,4,2,1,2,1,5,5,5,3,4,1,1,1,3,4,3,4,3,2,4,4,4,3,3,5,5,5,1,4,3,1,3,1,3,5,2,1,5,4,1,5,4,2,2,2,2,5,3,1,3,1,1,5,5,2,4,5,4,3,5,2,5,3,1,5,1,1,5,2,3,3,5,3,2,3,1,3,1,5,2,2,2,1,3,2,4,5
DS11-05074,3,3,3,5,2,1,1,3,1,2,3,1,2,4,4,3,5,5,1,1,3,3,5,1,4,4,5,5,2,4,3,4,2,1,4,4,5,5,1,1,5,4,2,2,5,3,3,1,2,5,4,5,5,3,4,3,2,3,4,2,4,1,4,3,1,1,4,1,5,4,2,1,1,1,4,5,5,3,4,4,3,4,3,5,3,4,3,5,5,5,4,1,2,5,2,2,5,3,3,5
DS11-05075,4,4,2,2,2,1,3,1,3,5,3,2,2,5,3,4,1,2,2,2,5,4,1,3,4,4,2,5,3,5,3,5,5,5,4,1,1,4,4,3,4,4,5,5,1,1,3,2,3,5,1,5,5,4,5,5,5,5,2,5,3,5,1,2,3,3,3,4,5,1,4,3,5,2,3,3,3,5,5,5,4,2,4,5,4,3,2,1,1,3,1,5,4,4,1,1,5,3,1,2
DS11-05076,2,3,4,5,1,2,1,2,3,4,2,2,5,3,4,5,4,2,2,5,1,2,2,4,3,4,4,1,3,1,1,4,3,3,3,2,1,1,4,5,4,3,1,4,1,2,3,2,1,3,1,2,3,4,4,2,2,1,1,2,1,5,2,5,5,4,4,1,2,4,3,4,3,1,4,1,3,5,5,3,3,3,5,2,1,4,1,2,2,2,4,1,1,3,4,2,4,4,5,1
DS11-05078,4,1,3,5,3,2,5,1,5,5,2,2,4,5,3,1,1,1,1,5,5,3,3,2,5,1,4,5,1,3,2,2,4,5,4,1,4,4,5,2,5,5,5,1,3,4,3,2,2,4,1,4,5,5,2,4,3,1,1,3,1,2,1,3,1,2,1,2,5,1,1,3,5,2,5,5,4,5,3,2,3,1,5,5,5,4,3,1,5,1,1,1,2,3,3,5,3,3,5,3
DS11-05079,5,2,4,2,3,5,1,2,1,1,4,5,1,3,5,2,4,3,3,5,5,3,3,3,2,5,2,4,2,3,1,2,2,4,3,5,5,5,4,2,1,2,5,1,1,2,3,5,5,4,1,1,5,1,1,2,1,4,1,4,3,4,4,3,1,4,1,3,5,3,2,2,2,5,1,1,1,4,5,3,4,4,3,2,2,5,4,1,4,4,1,4,4,5,3,4,4,1,3,3
DS11-05080,5,5,5,5,2,5,1,1,2,5,5,1,3,5,4,3,3,5,1,1,2,2,2,3,2,4,2,2,5,4,3,1,2,1,2,3,5,2,1,2,5,3,4,1,1,4,4,1,2,1,4,3,2,5,3,5,2,2,4,4,1,3,3,5,2,2,3,2,5,5,1,1,2,2,1,4,4,3,4,3,4,1,2,3,2,5,4,5,4,4,2,5,3,5,3,4,3,2,5,5
DS11-05081,5,4,2,3,2,2,1,3,1,4,3,1,1,2,3,3,3,3,5,1,3,4,4,4,4,4,2,2,2,2,5,1,3,3,3,4,2,4,2,3,4,4,1,3,4,2,3,3,2,2,5,1,4,4,4,5,5,5,4,2,5,2,3,5,4,4,1,1,1,5,3,1,3,3,1,4,5,1,5,3,4,1,3,3,4,2,3,2,1,1,1,4,2,5,3,1,2,4,4,1
DS11-05083,2,5,1,1,1,5,3,2,4,5,1,2,1,5,3,2,5,4,2,5,3,1,3,3,3,1,3,5,3,3,4,1,3,3,2,1,2,4,2,1,3,1,3,2,3,1,2,3,1,1,2,2,2,1,3,4,5,3,2,3,2,2,4,1,3,5,1,2,2,5,5,2,4,1,4,4,5,3,1,4,1,3,4,2,2,3,4,4,2,2,1,5,1,1,1,5,5,2,5,5
DS11-05084,2,4,2,4,3,4,2,2,2,3,5,1,4,4,5,4,5,2,4,1,4,1,2,4,3,4,5,1,2,5,5,1,5,2,5,4,4,5,1,3,5,2,4,2,3,3,4,2,2,4,1,1,1,1,3,2,4,5,1,1,1,3,4,4,4,5,2,2,5,2,1,2,4,2,1,4,5,1,1,3,5,5,5,4,1,1,1,1,4,4,2,5,5,5,3,4,2,5,5,5
DS11-05085,4,2,4,5,1,3,3,5,4,1,2,3,1,5,1,2,1,4,1,2,3,3,2,2,5,3,2,3,1,5,4,3,3,1,1,3,4,3,5,3,2,1,5,2,3,2,5,1,2,5,3,1,4,3,1,4,5,3,5,4,5,5,1,4,2,3,1,4,1,5,1,5,3,4,4,5,2,4,5,2,1,5,2,5,3,3,4,3,2,3,4,1,4,2,5,3,1,4,5,1
DS11-05086,4,5,2,5,4,5,2,1,4,5,3,2,4,5,5,4,1,5,3,1,2,5,3,4,4,4,3,4,4,4,1,2,3,2,1,2,5,4,3,1,2,3,3,2,2,5,3,5,1,1,2,5,2,2,2,4,4,3,4,2,3,4,1,4,2,1,3,2,3,3,5,4,1,4,1,1,4,2,5,1,5,4,2,2,2,2,4,4,2,2,1,5,4,3,4,5,3,5,4,3
DS11-05089,1,1,1,2,4,3,5,4,2,1,1,3,1,3,4,2,3,2,2,3,1,3,3,4,4,4,2,1,4,2,3,2,5,1,3,3,5,5,4,1,1,3,2,1,4,3,3,1,4,4,3,2,4,2,5,3,2,3,2,4,4,2,1,1,3,1,3,5,3,3,3,4,1,2,3,1,1,2,3,5,4,2,4,2,5,4,3,1,2,5,1,3,5,5,5,2,3,4,4,1
DS11-05090,1,2,2,4,4,2,4,3,2,1,3,3,4,1,2,1,1,1,5,2,3,4,3,4,5,2,3,3,4,2,2,3,1,1,3,2,4,1,3,4,1,1,4,3,4,3,2,4,4,3,5,3,4,2,3,4,5,2,4,4,5,4,4,3,2,1,5,5,1,5,3,3,1,5,1,4,3,5,1,5,5,5,3,3,5,1,2,3,3,5,1,5,2,1,5,5,2,5,3,1
DS11-05091,3,5,5,1,3,2,3,2,2,5,1,4,4,4,5,1,1,1,2,1,4,5,4,2,5,2,3,1,4,1,2,4,5,1,4,4,3,4,3,3,1,3,1,5,4,1,3,4,4,4,2,4,2,2,2,5,1,3,3,1,3,3,1,1,4,1,1,1,4,1,4,4,3,3,5,3,3,1,4,5,1,2,4,4,2,2,3,5,3,3,4,1,1,5,4,4,5,2,1,1
DS11-05093,4,2,1,4,4,3,4,4,5,5,2,4,1,1,4,2,1,5,1,3,1,4,3,4,3,2,3,3,3,2,5,2,5,4,3,2,3,3,3,2,3,1,5,1,5,1,5,2,1,3,2,3,5,5,2,2,2,3,4,5,1,1,3,2,4,2,1,1,5,1,1,2,5,2,5,2,1,5,2,4,3,4,2,2,3,4,5,3,3,2,3,4,3,5,3,3,5,2,3,1
DS11-05094,3,2,1,4,3,1,1,3,1,2,5,2,2,2,1,1,4,4,4,2,3,3,5,2,2,1,5,3,1,4,3,2,2,3,5,4,1,1,3,1,4,2,5,5,2,2,2,5,3,4,2,5,3,3,5,2,5,5,3,5,5,1,4,2,2,3,5,3,3,3,4,4,3,5,5,1,1,5,2,3,4,1,2,3,1,1,2,2,5,1,1,4,4,2,4,4,5,1,4,5
DS11-05095,2,2,1,4,4,4,5,1,5,2,4,3,3,4,3,1,2,3,1,5,5,5,2,1,5,3,5,2,1,3,3,4,3,5,4,5,3,3,1,5,3,2,1,4,1,4,5,2,2,1,2,4,1,5,1,4,2,1,1,1,4,2,5,4,4,2,4,2,1,1,3,4,2,5,1,2,3,1,2,1,2,2,3,1,2,2,5,1,3,4,4,2,2,2,3,4,4,4,4,3
DS11-05096,2,2,3,5,2,1,3,3,2,2,4,5,4,2,3,5,2,5,1,3,4,3,5,4,4,2,3,2,2,5,4,5,2,2,5,3,5,3,4,3,4,4,5,2,5,1,3,1,5,4,1,3,1,4,2,1,3,5,1,4,3,4,1,4,3,2,5,3,4,3,4,5,3,2,2,3,2,3,3,3,5,2,3,2,2,5,5,4,4,2,4,2,2,3,1,3,5,1,5,2
DS11-05098,2,1,4,3,5,3,1,1,4,5,5,5,3,3,3,2,5,5,4,5,2,2,1,2,2,4,1,3,5,4,3,1,5,3,4,3,3,2,4,5,5,5,3,5,2,1,3,4,3,4,1,5,2,1,1,3,5,2,3,5,4,1,2,3,5,1,5,3,1,5,1,3,2,2,5,2,4,5,4,4,2,4,2,1,2,3,2,3,2,3,5,5,4,5,3,1,5,3,1,1
DS11-05108,5,2,5,1,3,2,3,4,4,4,1,4,3,2,3,1,3,1,1,1,1,3,4,2,3,1,5,5,2,1,3,3,1,5,1,3,5,3,1,1,2,3,1,3,4,5,5,5,5,5,3,2,3,3,4,4,1,1,4,4,1,2,5,2,5,2,5,1,1,3,2,1,5,3,1,2,1,2,3,1,4,5,4,2,1,4,4,5,2,1,4,5,2,5,5,4,3,1,2,3
DS11-05110,3,2,3,1,3,3,5,1,3,2,5,2,4,2,3,1,5,5,5,2,3,3,1,3,5,2,3,4,2,1,5,5,2,3,3,4,4,1,4,3,1,2,1,1,4,3,2,5,5,3,3,2,2,5,2,1,3,3,3,4,3,3,5,4,2,2,3,4,4,5,2,5,2,4,5,4,4,2,4,2,4,5,4,4,3,2,4,4,5,3,2,2,3,2,5,5,4,5,4,1
DS11-05111,3,5,1,3,1,1,3,1,1,4,4,2,3,3,5,2,4,1,2,4,1,1,3,1,5,4,2,4,5,5,2,3,4,4,2,1,4,1,1,1,4,1,5,3,2,2,3,2,2,1,2,3,5,4,5,1,3,3,2,1,2,5,4,2,2,3,2,5,3,5,3,4,2,3,2,3,1,5,2,3,1,3,5,2,2,1,3,3,4,5,4,2,3,4,2,5,3,4,3,2
DS11-05113,4,3,2,3,2,1,5,2,1,4,1,1,3,2,1,5,2,4,5,4,4,1,1,3,5,3,4,1,1,2,4,4,3,3,4,5,1,2,4,5,1,2,1,5,3,2,3,3,4,3,2,4,4,5,4,5,1,4,3,3,4,2,5,2,2,2,4,2,2,2,4,1,3,4,2,2,2,4,4,5,4,2,1,3,5,3,1,2,4,3,2,5,3,1,4,5,3,1,2,2
DS11-05114,3,2,3,5,2,4,4,3,4,1,2,3,5,3,5,1,4,3,5,3,1,3,5,4,3,2,5,2,5,3,3,4,4,4,3,4,5,5,3,5,2,2,2,4,1,2,1,1,1,5,5,1,4,4,1,4,5,1,2,5,2,5,5,5,3,3,3,4,2,4,4,5,1,5,4,2,2,5,5,1,5,2,2,5,2,2,5,4,2,5,5,1,2,3,1,3,1,2,3,1
DS11-05117,2,3,1,5,5,1,4,2,5,4,4,1,1,2,1,2,4,3,3,4,1,1,4,3,4,3,1,2,1,4,1,1,5,1,5,4,3,3,2,5,3,4,5,5,4,3,2,2,5,1,2,5,2,5,4,3,5,1,2,5,4,4,2,3,5,3,5,4,1,4,4,3,1,1,5,2,4,2,3,2,5,5,5,1,3,3,3,3,4,1,4,2,5,5,1,3,1,5,4,5
DS11-05118,2,4,4,2,1,3,1,5,4,2,2,4,2,4,2,5,1,3,4,3,4,3,5,1,4,4,2,2,2,3,3,4,3,5,2,2,2,2,3,5,4,4,1,2,1,1,1,3,3,4,1,1,2,5,2,1,5,3,2,4,1,5,5,2,4,5,4,2,5,5,4,4,4,2,5,4,2,3,3,3,5,4,5,4,1,5,5,4,1,5,4,2,2,1,4,1,5,5,2,5
DS11-05119,1,1,3,3,3,2,1,3,5,2,3,2,3,4,3,4,3,4,2,2,2,4,4,1,5,1,5,2,1,2,3,3,4,5,2,4,4,1,3,3,4,3,2,3,2,4,1,3,4,1,5,2,1,4,5,5,1,1,3,5,5,5,3,1,1,3,2,1,4,2,2,5,1,1,2,1,3,5,3,4,3,4,2,1,2,5,2,5,4,2,5,4,4,1,3,5,5,4,2,4
DS11-05121,5,5,5,5,5,3,5,4,1,2,5,3,4,2,4,3,3,1,1,2,3,4,2,5,3,3,4,3,1,4,1,4,4,5,1,2,3,2,4,2,4,4,4,2,5,3,5,3,3,2,1,4,4,5,1,2,2,2,5,3,3,5,5,1,5,5,3,3,2,1,3,5,1,1,1,5,5,4,2,3,2,3,3,2,2,5,5,1,3,1,4,2,5,1,5,2,4,4,1,5
DS11-05122,4,5,2,5,4,3,3,5,3,3,3,3,2,3,1,1,2,1,2,3,3,2,1,4,2,5,2,2,1,1,1,4,5,4,4,3,3,5,1,4,3,2,2,4,1,2,1,1,2,3,4,4,5,1,2,5,5,3,4,4,5,4,3,4,3,2,4,5,4,3,4,5,5,2,3,2,4,4,1,5,1,3,1,5,1,4,1,2,5,1,2,3,4,1,3,3,1,1,5,1
DS11-05123,5,2,2,5,5,3,2,5,3,5,2,2,1,4,4,1,4,5,3,3,1,2,2,5,4,2,3,4,1,1,2,3,2,4,4,2,4,4,3,4,5,5,1,2,4,1,4,5,3,3,1,1,1,5,3,4,3,1,3,5,4,4,3,5,1,4,3,3,1,5,5,1,2,2,2,4,2,2,4,4,5,3,5,1,4,4,3,2,5,4,3,2,2,5,1,2,4,4,4,2
DS11-05124,1,5,3,5,3,2,1,4,5,1,5,2,1,1,4,3,2,1,5,3,3,1,5,1,5,4,1,4,3,1,1,1,5,2,4,1,2,3,2,3,2,5,5,1,2,1,5,4,4,2,3,4,2,2,5,2,4,4,3,2,5,3,2,2,4,2,3,4,1,2,2,1,5,4,3,2,1,1,2,3,3,4,3,1,4,2,3,3,4,3,2,2,2,3,1,2,2,4,1,2
DS11-05125,2,5,4,4,4,1,1,3,4,1,2,2,2,4,1,2,5,3,2,3,3,2,4,3,1,5,2,4,2,5,5,2,2,4,2,5,5,1,4,5,2,5,4,4,1,4,5,5,5,2,4,1,4,3,1,1,2,3,3,4,2,1,5,3,2,5,2,3,5,3,4,4,1,4,2,1,1,4,1,3,4,2,3,1,3,4,1,3,3,1,1,5,2,5,1,5,3,2,2,1
DS11-05126,3,3,3,5,3,4,3,5,4,4,3,1,3,5,5,1,4,2,5,5,3,1,4,1,5,1,5,1,5,1,2,2,1,5,1,2,4,1,4,4,3,4,5,2,5,2,4,5,1,2,2,3,5,5,1,1,3,5,2,2,2,1,2,3,4,4,5,2,5,4,4,3,4,1,3,3,5,3,4,2,1,2,1,4,4,3,5,3,4,1,1,5,1,2,1,5,4,5,5,3
DS11-05127,4,5,3,1,3,3,3,4,3,2,3,3,5,4,2,5,1,1,3,1,1,2,1,1,5,1,1,2,3,4,3,3,4,4,1,1,4,2,2,2,1,2,4,1,2,3,3,3,1,2,3,2,1,1,2,4,1,4,5,2,4,3,3,4,3,4,4,5,5,2,1,3,1,3,2,2,1,1,1,5,4,1,4,2,4,4,4,1,4,4,1,4,2,1,1,3,3,4,5,1
